,0,Illiterate Male,dsf,Illiterate Persons,Literates Population Female,Literates Population Male,Literates Population Person,Main Agricultural Labourers Population Female,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Person,Main Cultivator Population Female,Main Cultivator Population Male,Main Cultivator Population Person,Main Household Industries Population Female,Main Household Industries Population Male,Main Household Industries Population Person,Main Other Workers Population Female,Main Other Workers Population Male,Main Other Workers Population Person,Main Working Population Female,Main Working Population Male,Main Working Population Person,Marginal Agriculture Labourers Population 0_3 Female,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population Female,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3_Female,Marginal Cultivator Population 3_6 Female,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population Female,Marginal Cultivator Population Male,Marginal Cultivator Population Person,Marginal Household Industries Population 0_3 Female,Marginal Household Industries Population 0_3 Male
10,5780,4699,10479,10479,12386,14263.0,26649,347.0,130.0,106.0,73.0,147.0,35.0,252.0,103.0,376.0,2677.0,9767.0,23069,5408.0,10395.0,13404,0.0,1.0,7.0,76.0,196.0,201.0,23.0,123.0,205.0,,,,34.0,31.0,80.0,81.0,33.0,54.0,5.0,25.0
11,7163,5773,12936,12936,21733,26402.0,48135,81.0,283.0,738.0,61.0,179.0,893.0,196.0,222.0,321.0,5173.0,17896.0,16657,3973.0,18586.0,23994,8.0,3.0,0.0,132.0,55.0,154.0,27.0,197.0,163.0,,,,20.0,1.0,9.0,20.0,30.0,102.0,44.0,18.0
12,4736,3787,8523,8523,14770,18189.0,32959,76.0,613.0,197.0,51.0,78.0,309.0,121.0,313.0,677.0,3827.0,12830.0,25459,6555.0,13554.0,17527,1.0,2.0,15.0,31.0,32.0,65.0,59.0,55.0,69.0,,,,1.0,5.0,20.0,1.0,3.0,13.0,10.0,62.0
13,7012,5412,12424,12424,24093,28596.0,52689,47.0,198.0,141.0,55.0,163.0,127.0,184.0,401.0,212.0,6275.0,19184.0,13986,3538.0,19960.0,26515,3.0,6.0,3.0,25.0,64.0,206.0,33.0,65.0,207.0,,,,13.0,6.0,45.0,5.0,1.0,47.0,29.0,26.0
14,2921,2387,5308,5308,12338,15396.0,27734,92.0,191.0,112.0,10.0,15.0,145.0,73.0,596.0,157.0,3309.0,10677.0,15172,3278.0,11322.0,14860,,0.0,4.0,66.0,47.0,61.0,34.0,121.0,61.0,,,,5.0,21.0,127.0,39.0,6.0,51.0,13.0,9.0
15,3503,2547,6050,6050,14171,17738.0,31909,334.0,136.0,178.0,97.0,119.0,198.0,8.0,672.0,77.0,3183.0,11989.0,17646,5065.0,12250.0,15528,,5.0,6.0,22.0,35.0,272.0,21.0,38.0,275.0,,,,39.0,9.0,28.0,35.0,9.0,86.0,93.0,74.0
16,5516,4449,9965,9965,18690,20955.0,39645,98.0,120.0,118.0,77.0,69.0,90.0,25.0,115.0,332.0,4655.0,12991.0,12624,3505.0,13944.0,19009,,,2.0,103.0,30.0,187.0,28.0,58.0,54.0,,,,35.0,10.0,48.0,50.0,10.0,63.0,2.0,23.0
17,3345,2731,6076,6076,13702,15344.0,29046,80.0,293.0,416.0,113.0,207.0,69.0,363.0,69.0,406.0,3322.0,9302.0,11889,3037.0,9655.0,13160,,,14.0,56.0,118.0,50.0,0.0,92.0,22.0,,,,50.0,26.0,71.0,30.0,35.0,122.0,14.0,16.0
18,3105,2657,5762,5762,12689,14040.0,26729,87.0,85.0,960.0,57.0,246.0,109.0,296.0,242.0,423.0,2948.0,8941.0,9654,2432.0,9123.0,12160,,,1.0,32.0,38.0,106.0,5.0,32.0,188.0,,,,61.0,50.0,61.0,61.0,26.0,140.0,4.0,7.0
19,2984,2437,5421,5421,10404,11536.0,21940,64.0,139.0,279.0,129.0,41.0,258.0,690.0,89.0,547.0,2300.0,7354.0,11677,3155.0,7730.0,10162,,,8.0,34.0,29.0,78.0,72.0,7.0,108.0,,,,90.0,43.0,100.0,91.0,42.0,57.0,0.0,22.0
